ID,Correo_Remitente,Asunto,Contenido,Palabras_Clave,Longitud_Caracteres,Dominio_gratuito,Numero_links,Caracteres_Especiales,Categoria
1,amywilson@walker-miller.com,Confirmación de cita médica,"Hola Chelsea Brown, adjunto el documento solicitado sobre generate front-end paradigms.",0,87,0,0,0,ham
2,vanderson@gmail.com,ÚLTIMA OPORTUNIDAD PARA RECLAMAR TU PREMIO,Gana hasta 365$ diarios con esta inversión secreta.,0,51,1,0,1,spam
3,bnicholson@snyder-cardenas.net,TU CUENTA HA SIDO BLOQUEADA,Ofrecemos préstamos inmediatos sin verificación.,0,48,0,0,0,spam
4,ashleymacdonald@yahoo.com,Última oportunidad para reclamar tu premio,Ofrecemos préstamos inmediatos sin verificación.,0,48,1,0,0,spam
5,marquezjasmine@gmail.com,Tu cuenta ha sido bloqueada,"Su cuenta ha sido comprometida, ingrese sus datos aquí: https://olson.info/",0,75,1,1,0,spam
6,wwallace@yahoo.com,REUNIÓN PROGRAMADA PARA MAÑANA,Recuerda que la reunión será el 30/03/2025 en la sala 381. !!! $$$,0,66,1,0,6,ham
7,jordan25@anderson.net,Confirmación de cita médica,"Hola Rachel Young, adjunto el documento solicitado sobre reinvent dot-com niches.",0,81,0,0,0,ham
8,brianvelazquez@carroll.com,Reunión programada para mañana,La entrega de tu pedido está programada para 09/01/2025.,0,56,0,0,0,ham
9,gary18@yahoo.com,GANA DINERO RÁPIDO DESDE CASA,Haz clic en este enlace para reclamar tu premio ahora: http://campbell-callahan.biz/,1,84,1,1,0,spam
10,fmorris@gutierrez.biz,Oferta exclusiva solo para ti,Gana hasta 145$ diarios con esta inversión secreta.,0,51,0,0,1,spam
11,vicki74@outlook.com,Oferta exclusiva solo para ti,Ofrecemos préstamos inmediatos sin verificación.,0,48,1,0,0,spam
12,lindarandolph@hotmail.com,Confirmación de cita médica,Recuerda que la reunión será el 17/01/2025 en la sala 444.,0,58,1,0,0,ham
13,floresmartin@outlook.com,Confirmación de cita médica,El proyecto en Escobar and Sons tiene un avance del 70%.,0,56,1,0,1,ham
14,thernandez@bender.com,ACTUALIZACIÓN DEL PROYECTO EN MCDONALD-SIMMONS,Recuerda que la reunión será el 04/08/2025 en la sala 250.,0,58,0,0,0,ham
15,zmiller@watson.net,Actualización del proyecto en Hall-Neal,"Hola Heather Patel, adjunto el documento solicitado sobre incentivize ubiquitous info-mediaries. !!! $$$",0,104,0,0,6,ham
16,bhill@gutierrez-liu.biz,Reunión programada para mañana,El proyecto en Patel Ltd tiene un avance del 7%.,0,48,0,0,1,ham
17,rebeccabryant@yahoo.com,Invitación al cumpleaños de Christopher,"Hola Ryan Hendricks, adjunto el documento solicitado sobre strategize e-business synergies.",0,91,1,0,0,ham
18,brucewilliams@gmail.com,TU CUENTA HA SIDO BLOQUEADA,Gana hasta 269$ diarios con esta inversión secreta. !!! $$$,0,59,1,0,7,spam
19,hmunoz@outlook.com,Entrega de informe pendiente,"Hola Carrie King, adjunto el documento solicitado sobre architect synergistic e-tailers.",0,88,1,0,0,ham
20,kaitlyn43@crawford.com,REUNIÓN PROGRAMADA PARA MAÑANA,La entrega de tu pedido está programada para 17/01/2025. !!! $$$,0,64,0,0,6,ham
21,kenneth94@montgomery.com,Última oportunidad para reclamar tu premio,Ofrecemos préstamos inmediatos sin verificación.,0,48,0,0,0,spam
22,timprice@hotmail.com,Actualización del proyecto en Blackburn Ltd,Recuerda que la reunión será el 09/06/2025 en la sala 276.,0,58,1,0,0,ham
23,austinjohnson@gmail.com,Entrega de informe pendiente,La entrega de tu pedido está programada para 19/01/2025. !!! $$$,0,64,1,0,6,ham
24,pcunningham@yahoo.com,Gana dinero rápido desde casa,"Su cuenta ha sido comprometida, ingrese sus datos aquí: http://rhodes.net/",0,74,1,1,0,spam
25,stephensjeffrey@hunter-rivera.biz,Entrega de informe pendiente,El proyecto en Boyd-Richardson tiene un avance del 52%.,0,55,0,0,1,ham
26,umills@gmail.com,Entrega de informe pendiente,El proyecto en Rojas and Sons tiene un avance del 34%.,0,54,1,0,1,ham
27,murphycarolyn@clark.com,Entrega de informe pendiente,Recuerda que la reunión será el 17/07/2025 en la sala 481.,0,58,0,0,0,ham
28,williamsaaron@vargas.com,Gana dinero rápido desde casa,Gana hasta 269$ diarios con esta inversión secreta.,0,51,0,0,1,spam
29,tuckercheryl@yahoo.com,"Actualización del proyecto en Novak, Roberson and Lane",La entrega de tu pedido está programada para 26/02/2025. !!! $$$,0,64,1,0,6,ham
30,tmorris@yahoo.com,Actualización del proyecto en Michael-Chen,Recuerda que la reunión será el 08/05/2025 en la sala 480. !!! $$$,0,66,1,0,6,ham
31,wheelerlaura@yahoo.com,Invitación al cumpleaños de Howard,"Hola Julie Oneill, adjunto el documento solicitado sobre morph scalable metrics.",0,80,1,0,0,ham
32,ctucker@melton.com,REUNIÓN PROGRAMADA PARA MAÑANA,Recuerda que la reunión será el 25/02/2025 en la sala 407.,0,58,0,0,0,ham
33,ncole@anderson-juarez.com,Haz clic aquí para obtener un regalo,"Su cuenta ha sido comprometida, ingrese sus datos aquí: http://ramirez-henderson.net/",0,85,0,1,0,spam
34,deborahjones@williams-clark.net,Oferta exclusiva solo para ti,Haz clic en este enlace para reclamar tu premio ahora: https://meyer.com/,1,73,0,1,0,spam
35,zacharymoore@whitaker.com,ACTUALIZACIÓN DEL PROYECTO EN GALVAN LLC,Recuerda que la reunión será el 10/06/2025 en la sala 302.,0,58,0,0,0,ham
36,kempjeremy@fleming.net,Entrega de informe pendiente,"Hola Daniel Walton, adjunto el documento solicitado sobre grow cutting-edge solutions. !!! $$$",0,94,0,0,6,ham
37,morrisonjodi@yahoo.com,Reunión programada para mañana,El proyecto en Thomas LLC tiene un avance del 70%.,0,50,1,0,1,ham
38,walkerkelly@hunt.com,Invitación al cumpleaños de Maria,Recuerda que la reunión será el 26/04/2025 en la sala 497.,0,58,0,0,0,ham
39,jeffery36@hotmail.com,"Actualización del proyecto en Harmon, Martin and Ballard",El proyecto en Howell-Stephenson tiene un avance del 32%. !!! $$$,0,65,1,0,7,ham
40,adamwelch@hodges-douglas.com,Tu cuenta ha sido bloqueada,"Su cuenta ha sido comprometida, ingrese sus datos aquí: https://www.pearson.biz/",0,80,0,1,0,spam
41,williamsstephanie@estes.com,Oferta exclusiva solo para ti,Gana hasta 500$ diarios con esta inversión secreta. !!! $$$,0,59,0,0,7,spam
42,jasmine59@yahoo.com,Tu cuenta ha sido bloqueada,Haz clic en este enlace para reclamar tu premio ahora: https://www.flores-mcgrath.net/ !!! $$$,1,94,1,1,6,spam
43,gkeller@yahoo.com,Confirmación de cita médica,La entrega de tu pedido está programada para 02/06/2025.,0,56,1,0,0,ham
44,kelly93@outlook.com,ENTREGA DE INFORME PENDIENTE,"Hola John Martin, adjunto el documento solicitado sobre revolutionize cross-platform content. !!! $$$",0,101,1,0,6,ham
45,zortiz@swanson.net,Entrega de informe pendiente,"Hola Ann Jones, adjunto el documento solicitado sobre deliver rich networks. !!! $$$",0,84,0,0,6,ham
46,reedjoshua@dixon-page.info,Haz clic aquí para obtener un regalo,Haz clic en este enlace para reclamar tu premio ahora: http://melton-davis.com/,1,79,0,1,0,spam
47,brendachurch@hotmail.com,Haz clic aquí para obtener un regalo,Ofrecemos préstamos inmediatos sin verificación.,0,48,1,0,0,spam
48,kevin70@lewis-barnes.org,Oferta exclusiva solo para ti,Gana hasta 83$ diarios con esta inversión secreta.,0,50,0,0,1,spam
49,ymedina@outlook.com,Entrega de informe pendiente,El proyecto en Long-Nguyen tiene un avance del 62%.,0,51,1,0,1,ham
50,marilyn70@gmail.com,Confirmación de cita médica,"Hola Victoria Harris, adjunto el documento solicitado sobre streamline transparent portals. !!! $$$",0,99,1,0,6,ham
51,jowens@yahoo.com,REUNIÓN PROGRAMADA PARA MAÑANA,"Hola Ashley Green, adjunto el documento solicitado sobre optimize synergistic content.",0,86,1,0,0,ham
52,elizabethpeterson@yahoo.com,CONFIRMACIÓN DE CITA MÉDICA,Recuerda que la reunión será el 26/03/2025 en la sala 475. !!! $$$,0,66,1,0,6,ham
53,pguzman@lawrence.com,Última oportunidad para reclamar tu premio,Gana hasta 394$ diarios con esta inversión secreta. !!! $$$,0,59,0,0,7,spam
54,bshannon@yahoo.com,OFERTA EXCLUSIVA SOLO PARA TI,Haz clic en este enlace para reclamar tu premio ahora: https://blackburn.org/ !!! $$$,1,85,1,1,6,spam
55,derek46@clay-osborn.com,Gana dinero rápido desde casa,Haz clic en este enlace para reclamar tu premio ahora: http://smith.com/,1,72,0,1,0,spam
56,fmann@yahoo.com,INVITACIÓN AL CUMPLEAÑOS DE VICTORIA,El proyecto en Gomez-Vaughn tiene un avance del 56%.,0,52,1,0,1,ham
57,qwells@outlook.com,INVITACIÓN AL CUMPLEAÑOS DE STACEY,La entrega de tu pedido está programada para 06/05/2025.,0,56,1,0,0,ham
58,qpowell@gmail.com,Haz clic aquí para obtener un regalo,"Su cuenta ha sido comprometida, ingrese sus datos aquí: https://miller.com/",0,75,1,1,0,spam
59,nicholasblevins@outlook.com,"Actualización del proyecto en Russell, Parker and Brown","Hola Gregory Oliver, adjunto el documento solicitado sobre re-contextualize revolutionary metrics.",0,98,1,0,0,ham
60,craig63@mcdaniel.com,Gana dinero rápido desde casa,Ofrecemos préstamos inmediatos sin verificación. !!! $$$,0,56,0,0,6,spam
61,heather50@davidson.com,Invitación al cumpleaños de Tyler,Recuerda que la reunión será el 20/07/2025 en la sala 152.,0,58,0,0,0,ham
62,vasquezjeffrey@gmail.com,Oferta exclusiva solo para ti,Ofrecemos préstamos inmediatos sin verificación. !!! $$$,0,56,1,0,6,spam
63,bryan63@larson.com,TU CUENTA HA SIDO BLOQUEADA,Gana hasta 132$ diarios con esta inversión secreta. !!! $$$,0,59,0,0,7,spam
64,susannewman@page-watson.info,Reunión programada para mañana,El proyecto en Pruitt-Ali tiene un avance del 41%.,0,50,0,0,1,ham
65,heather64@wilson-henson.com,HAZ CLIC AQUÍ PARA OBTENER UN REGALO,Gana hasta 145$ diarios con esta inversión secreta.,0,51,0,0,1,spam
66,sue02@scott.net,ACTUALIZACIÓN DEL PROYECTO EN DAVID-JOHNSON,El proyecto en Shelton-Keller tiene un avance del 34%.,0,54,0,0,1,ham
67,dschultz@thompson.info,TU CUENTA HA SIDO BLOQUEADA,"Su cuenta ha sido comprometida, ingrese sus datos aquí: http://young.com/",0,73,0,1,0,spam
68,ujohns@peterson.biz,Confirmación de cita médica,Recuerda que la reunión será el 31/08/2025 en la sala 442.,0,58,0,0,0,ham
69,danielle44@outlook.com,Actualización del proyecto en Boyer-Parrish,La entrega de tu pedido está programada para 26/01/2025. !!! $$$,0,64,1,0,6,ham
70,leeamy@yahoo.com,Tu cuenta ha sido bloqueada,"Su cuenta ha sido comprometida, ingrese sus datos aquí: https://pitts.com/",0,74,1,1,0,spam
71,charles24@jackson.com,HAZ CLIC AQUÍ PARA OBTENER UN REGALO,Gana hasta 435$ diarios con esta inversión secreta.,0,51,0,0,1,spam
72,jeffgonzales@hotmail.com,INVITACIÓN AL CUMPLEAÑOS DE MOLLY,El proyecto en Palmer-Mejia tiene un avance del 73%.,0,52,1,0,1,ham
73,luis02@hudson.com,"Actualización del proyecto en Dixon, Gibbs and Wise",El proyecto en Armstrong-Brooks tiene un avance del 65%.,0,56,0,0,1,ham
74,lisa08@yahoo.com,Última oportunidad para reclamar tu premio,"Su cuenta ha sido comprometida, ingrese sus datos aquí: https://www.bowers-white.com/ !!! $$$",0,93,1,1,6,spam
75,valenzuelarenee@yahoo.com,OFERTA EXCLUSIVA SOLO PARA TI,Haz clic en este enlace para reclamar tu premio ahora: http://www.simpson-allen.com/,1,84,1,1,0,spam
76,richard74@moore.com,Entrega de informe pendiente,"Hola Nicholas Little, adjunto el documento solicitado sobre reinvent world-class channels. !!! $$$",0,98,0,0,6,ham
77,bmiranda@outlook.com,Tu cuenta ha sido bloqueada,Gana hasta 425$ diarios con esta inversión secreta.,0,51,1,0,1,spam
78,jenniferclark@outlook.com,Oferta exclusiva solo para ti,"Su cuenta ha sido comprometida, ingrese sus datos aquí: https://www.berg.com/",0,77,1,1,0,spam
79,johnsonrichard@hotmail.com,Reunión programada para mañana,"Hola Tara Dudley, adjunto el documento solicitado sobre streamline transparent schemas.",0,87,1,0,0,ham
80,michaelcrawford@yahoo.com,Reunión programada para mañana,El proyecto en Edwards-Atkinson tiene un avance del 31%. !!! $$$,0,64,1,0,7,ham
81,aaron54@murphy.com,Gana dinero rápido desde casa,Haz clic en este enlace para reclamar tu premio ahora: http://www.cruz-wong.org/,1,80,0,1,0,spam
82,davidgonzalez@hotmail.com,Haz clic aquí para obtener un regalo,Ofrecemos préstamos inmediatos sin verificación. !!! $$$,0,56,1,0,6,spam
83,victoria03@marshall.com,Reunión programada para mañana,La entrega de tu pedido está programada para 19/06/2025. !!! $$$,0,64,0,0,6,ham
84,ashley10@hotmail.com,"Actualización del proyecto en Griffin, Robinson and Wright","Hola Stephanie Wilson, adjunto el documento solicitado sobre optimize transparent relationships.",0,96,1,0,0,ham
85,reyesamanda@foster-walker.biz,Tu cuenta ha sido bloqueada,Gana hasta 237$ diarios con esta inversión secreta.,0,51,0,0,1,spam
86,gonzalezmark@anderson.com,Confirmación de cita médica,Recuerda que la reunión será el 20/08/2025 en la sala 148.,0,58,0,0,0,ham
87,ilee@hotmail.com,GANA DINERO RÁPIDO DESDE CASA,Gana hasta 311$ diarios con esta inversión secreta.,0,51,1,0,1,spam
88,cynthia71@outlook.com,Última oportunidad para reclamar tu premio,Gana hasta 131$ diarios con esta inversión secreta.,0,51,1,0,1,spam
89,john06@outlook.com,OFERTA EXCLUSIVA SOLO PARA TI,Ofrecemos préstamos inmediatos sin verificación.,0,48,1,0,0,spam
90,xjohnston@yahoo.com,Gana dinero rápido desde casa,Haz clic en este enlace para reclamar tu premio ahora: http://www.wall-thomas.info/,1,83,1,1,0,spam
91,zjordan@hotmail.com,Actualización del proyecto en Thomas Inc,"Hola Jeffrey Grant, adjunto el documento solicitado sobre streamline dot-com ROI.",0,81,1,0,0,ham
92,kwiley@outlook.com,Oferta exclusiva solo para ti,Haz clic en este enlace para reclamar tu premio ahora: https://www.gonzalez.com/,1,80,1,1,0,spam
93,lawsonkimberly@hernandez-simpson.com,Gana dinero rápido desde casa,Ofrecemos préstamos inmediatos sin verificación. !!! $$$,0,56,0,0,6,spam
94,christyhernandez@mckenzie-moore.info,Confirmación de cita médica,"Hola Karen Pope, adjunto el documento solicitado sobre disintermediate strategic web services.",0,94,0,0,0,ham
95,floreskendra@yahoo.com,Invitación al cumpleaños de Cindy,El proyecto en Bell-Richardson tiene un avance del 30%.,0,55,1,0,1,ham
96,stonegregory@adkins.com,Actualización del proyecto en Frazier-Nguyen,"Hola Melinda Mckinney, adjunto el documento solicitado sobre enable integrated action-items.",0,92,0,0,0,ham
97,allisonbean@gordon.com,Haz clic aquí para obtener un regalo,"Su cuenta ha sido comprometida, ingrese sus datos aquí: https://todd-barton.com/",0,80,0,1,0,spam
98,jacob74@medina.com,Gana dinero rápido desde casa,Ofrecemos préstamos inmediatos sin verificación.,0,48,0,0,0,spam
99,kristin28@reyes.info,Confirmación de cita médica,El proyecto en Green-Harris tiene un avance del 72%.,0,52,0,0,1,ham
100,mahoneyteresa@pope-martin.info,Oferta exclusiva solo para ti,Ofrecemos préstamos inmediatos sin verificación.,0,48,0,0,0,spam
101,derekwilliams@olson.com,INVITACIÓN AL CUMPLEAÑOS DE THOMAS,La entrega de tu pedido está programada para 28/06/2025. !!! $$$,0,64,0,0,6,ham
102,kimberly11@gmail.com,Oferta exclusiva solo para ti,"Su cuenta ha sido comprometida, ingrese sus datos aquí: http://bishop.com/",0,74,1,1,0,spam
103,smithdesiree@yahoo.com,Gana dinero rápido desde casa,"Su cuenta ha sido comprometida, ingrese sus datos aquí: https://www.brooks.info/",0,80,1,1,0,spam
104,richardsphillip@yahoo.com,Entrega de informe pendiente,Recuerda que la reunión será el 17/07/2025 en la sala 375. !!! $$$,0,66,1,0,6,ham
105,marcus63@gmail.com,Entrega de informe pendiente,El proyecto en Mckinney LLC tiene un avance del 66%.,0,52,1,0,1,ham
106,frederickcarter@hall.info,Entrega de informe pendiente,Recuerda que la reunión será el 17/08/2025 en la sala 482.,0,58,0,0,0,ham
107,sara13@outlook.com,GANA DINERO RÁPIDO DESDE CASA,Haz clic en este enlace para reclamar tu premio ahora: http://www.mullen-rose.com/ !!! $$$,1,90,1,1,6,spam
108,kevinthomas@gmail.com,Oferta exclusiva solo para ti,Ofrecemos préstamos inmediatos sin verificación.,0,48,1,0,0,spam
109,btorres@robinson.com,Invitación al cumpleaños de Robert,La entrega de tu pedido está programada para 15/05/2025.,0,56,0,0,0,ham
110,sara62@potts.com,Tu cuenta ha sido bloqueada,Ofrecemos préstamos inmediatos sin verificación. !!! $$$,0,56,0,0,6,spam
111,jasonreynolds@allen.com,Entrega de informe pendiente,"Hola Michelle Harrell, adjunto el documento solicitado sobre exploit web-enabled e-services.",0,92,0,0,0,ham
112,vrandall@gmail.com,HAZ CLIC AQUÍ PARA OBTENER UN REGALO,Ofrecemos préstamos inmediatos sin verificación.,0,48,1,0,0,spam
113,wchandler@miller.com,Reunión programada para mañana,Recuerda que la reunión será el 08/05/2025 en la sala 253.,0,58,0,0,0,ham
114,lauren62@jones-brewer.org,Invitación al cumpleaños de Haley,"Hola Brooke Lester, adjunto el documento solicitado sobre facilitate front-end e-markets.",0,89,0,0,0,ham
115,cynthia38@hotmail.com,Actualización del proyecto en Avila-Rose,"Hola Luis Cain, adjunto el documento solicitado sobre extend dot-com ROI.",0,73,1,0,0,ham
116,ijackson@lane.net,Reunión programada para mañana,"Hola Melissa Howard, adjunto el documento solicitado sobre maximize one-to-one functionalities.",0,95,0,0,0,ham
